zone_id,latitude,longitude,Predicted_Leak,flowrate_lps,leak_pressure_psi,timestamp,usage_difference,water_consumed_litres,water_supplied_litres
Zone-4,21.231074,81.646052,0,0.113,26.06,2025-05-21 03:39:19,180.149,1662.38,1842.529
Zone-10,21.240102,81.641513,0,0.096,14.46,2025-10-29 14:22:02,679.581,13733.261,14412.843
Zone-2,21.248451,81.619019,0,0.045,22.86,2025-04-25 14:37:43,195.227,6893.814,7089.041
Zone-1,21.263072,81.632947,0,0.021,17.33,2025-04-26 02:57:53,218.565,10336.248,10554.812
Zone-9,21.270294,81.608654,0,0.027,22.46,2025-01-15 06:02:31,12.925,14354.104,14367.029
Zone-6,21.283422,81.621188,1,0.138,17.84,2025-03-23 11:08:00,105.462,9616.334,9721.796
Zone-9,21.273075,81.609999,1,5.42,26.78,2025-05-28 23:55:17,5043.578,0.0,5043.578
Zone-9,21.266302,81.611089,0,0.089,13.41,2025-08-17 14:48:30,231.04,4300.449,4531.489
Zone-6,21.28612,81.621472,0,0.048,18.5,2025-07-10 06:30:18,548.376,14949.523,15497.899
Zone-7,21.257379,81.607305,0,0.047,28.35,2025-06-11 10:28:24,73.318,14354.557,14427.876
Zone-12,21.239111,81.65862,1,0.024,25.24,2025-01-14 08:06:28,121.179,1879.475,2000.654
Zone-4,21.229633,81.639464,0,0.099,21.98,2025-02-09 23:17:08,666.086,10125.94,10792.026
Zone-3,21.276802,81.6469,0,0.014,17.2,2025-02-12 03:56:48,18.91,384.499,403.409
Zone-3,21.276126,81.643022,0,0.042,29.6,2025-04-22 20:27:18,269.978,7902.288,8172.266
Zone-7,21.252211,81.60631,0,0.01,27.72,2025-04-28 02:30:10,404.206,15570.869,15975.074
Zone-12,21.236428,81.653661,0,0.013,11.03,2025-09-23 11:07:33,-140.574,16133.731,15993.156
Zone-3,21.275111,81.649509,0,0.043,13.47,2025-07-29 11:22:36,397.773,9632.349,10030.122
Zone-3,21.272002,81.650351,0,0.096,17.64,2025-08-31 17:37:50,315.493,11256.177,11571.669
Zone-10,21.253476,81.638776,1,5.433,77.1,2025-05-14 04:03:45,2963.994,0.0,2963.994
Zone-7,21.248653,81.611362,0,0.124,21.2,2025-05-06 21:55:43,357.776,5856.305,6214.081
Zone-10,21.243446,81.640494,0,0.004,25.42,2025-01-06 05:48:00,-304.087,30712.793,30408.706
Zone-3,21.271588,81.641483,1,0.037,10.53,2025-07-11 00:42:52,-8.608,19378.599,19369.991
Zone-1,21.26377,81.628071,0,0.003,21.32,2025-02-14 05:02:07,210.666,9118.169,9328.835
Zone-4,21.227153,81.635382,1,5.73,51.24,2025-10-11 10:20:23,11231.196,0.0,11231.196
Zone-3,21.274926,81.647357,0,0.052,23.04,2025-10-10 05:56:14,1048.32,19308.819,20357.14
Zone-12,21.233011,81.650621,0,0.048,18.62,2025-09-11 12:20:34,239.202,3032.769,3271.971
Zone-12,21.237111,81.656764,0,0.042,22.8,2025-05-15 00:20:19,39.146,666.086,705.232
Zone-5,21.254667,81.620509,0,0.082,29.06,2025-03-05 02:08:45,1164.047,12372.104,13536.151
Zone-4,21.234141,81.64821,0,0.125,23.25,2025-07-22 05:09:37,655.221,9182.096,9837.317
Zone-9,21.265532,81.601343,0,0.102,21.26,2025-07-09 15:26:16,46.376,8768.966,8815.342
Zone-3,21.272328,81.652968,0,0.052,29.51,2025-11-07 15:29:14,115.669,1168.768,1284.436
Zone-1,21.261877,81.630047,0,0.054,11.24,2025-05-20 22:56:21,731.089,17081.864,17812.953
Zone-1,21.261466,81.632233,1,2.971,43.33,2025-07-22 04:48:04,3722.538,0.0,3722.538
Zone-11,21.261065,81.599767,0,0.108,14.0,2025-07-16 11:52:04,432.355,3453.526,3885.882
Zone-9,21.262692,81.611086,0,0.055,12.47,2025-07-18 07:02:49,105.906,8315.392,8421.298
Zone-9,21.27078,81.615339,0,0.074,12.16,2025-04-19 12:49:34,206.29,12720.599,12926.889
Zone-7,21.247198,81.605842,0,0.087,23.9,2025-01-29 21:50:04,-90.613,10347.796,10257.183
Zone-1,21.259374,81.631862,0,0.143,28.3,2025-09-14 19:25:15,268.477,8453.41,8721.887
Zone-2,21.244774,81.613114,0,0.097,19.94,2025-09-27 18:19:20,754.89,8644.825,9399.715
Zone-11,21.257889,81.595377,0,0.042,23.14,2025-10-01 03:31:33,131.513,5444.882,5576.394
Zone-6,21.28029,81.621702,0,0.003,25.37,2025-09-25 15:54:28,-27.298,2757.071,2729.773
Zone-5,21.253061,81.61991,0,0.143,24.91,2025-10-10 03:33:25,605.952,4824.942,5430.894
Zone-10,21.244989,81.646263,0,0.05,10.95,2025-01-30 23:38:32,339.484,9771.063,10110.547
Zone-1,21.264969,81.63265,0,0.142,10.28,2025-03-19 15:13:32,415.675,12875.908,13291.583
Zone-10,21.245056,81.644903,0,0.005,19.44,2025-03-27 12:34:29,0.39,935.027,935.417
Zone-12,21.242613,81.66575,0,0.09,27.85,2025-07-21 03:42:58,768.376,9390.03,10158.407
Zone-12,21.238717,81.662181,0,0.041,26.14,2025-03-01 09:58:51,-202.598,20462.42,20259.821
Zone-12,21.238392,81.650747,0,0.108,14.82,2025-05-21 12:04:45,15.055,5226.652,5241.707
Zone-12,21.238203,81.651128,0,0.072,22.09,2025-03-31 05:37:25,250.035,4044.471,4294.506
Zone-1,21.258273,81.630818,0,0.112,11.94,2025-09-07 00:13:18,515.236,7604.182,8119.418
Zone-12,21.236405,81.652081,0,0.14,21.49,2025-04-02 22:40:10,1131.582,9968.288,11099.869
Zone-4,21.227606,81.63892,0,0.08,27.67,2025-06-12 01:49:43,195.226,5828.855,6024.081
Zone-4,21.23015,81.638261,0,0.14,27.77,2025-10-19 11:42:46,665.651,5152.147,5817.798
Zone-6,21.272805,81.611454,0,0.033,20.28,2025-03-06 17:04:41,131.449,8377.559,8509.008
Zone-3,21.274071,81.647406,0,0.134,11.81,2025-07-31 03:45:58,288.029,10483.21,10771.239
Zone-6,21.275868,81.614073,0,0.147,19.87,2025-02-23 01:43:46,522.772,13569.624,14092.397
Zone-11,21.259683,81.599918,0,0.009,21.76,2025-05-14 12:22:04,-101.031,10204.102,10103.071
Zone-10,21.248471,81.644854,0,0.125,23.3,2025-01-02 23:19:35,559.649,15286.808,15846.457
Zone-8,21.236508,81.631953,0,0.001,20.02,2025-05-15 15:31:33,-85.235,8608.733,8523.498
Zone-5,21.250712,81.620209,1,0.733,53.25,2025-07-20 03:43:23,2678.01,3039.099,5717.109
Zone-2,21.236663,81.622419,0,0.081,28.73,2025-09-08 08:43:37,101.904,5156.092,5257.996
Zone-3,21.272379,81.650801,0,0.016,18.13,2025-10-12 04:39:59,66.835,3080.816,3147.651
Zone-9,21.278211,81.609496,0,0.099,22.28,2025-06-26 06:53:53,47.849,1771.162,1819.011
Zone-11,21.258251,81.600582,0,0.047,28.41,2025-09-28 09:46:54,331.901,14372.148,14704.049
Zone-8,21.238733,81.629109,0,0.041,14.98,2025-04-28 07:58:41,85.396,1536.385,1621.781
Zone-9,21.273212,81.607758,0,0.068,21.73,2025-01-04 18:07:41,83.868,3360.672,3444.54
Zone-1,21.268326,81.632485,0,0.082,29.01,2025-10-23 03:45:06,665.896,23618.446,24284.342
Zone-2,21.239356,81.616914,0,0.023,24.56,2025-11-04 01:41:24,30.752,6173.145,6203.897
Zone-8,21.241644,81.635716,0,0.109,29.51,2025-01-18 17:46:27,233.938,3837.106,4071.044
Zone-1,21.264675,81.640367,0,0.128,28.01,2025-07-03 00:05:07,328.516,20334.043,20662.559
Zone-12,21.243977,81.650226,0,0.099,14.42,2025-06-14 09:21:27,762.59,25397.176,26159.767
Zone-2,21.241626,81.612881,0,0.145,18.93,2025-07-02 00:34:54,1584.496,28020.617,29605.113
Zone-11,21.254634,81.607547,0,0.126,12.49,2025-09-10 09:18:09,494.32,12736.909,13231.23
Zone-12,21.240476,81.645565,0,0.064,18.07,2025-08-27 08:10:56,721.72,15530.177,16251.898
Zone-4,21.22904,81.640045,1,3.215,76.12,2025-01-13 20:14:40,13462.719,5784.898,19247.617
Zone-7,21.247461,81.614403,0,0.094,13.68,2025-08-03 09:59:27,611.884,15294.878,15906.761
Zone-11,21.262259,81.596257,0,0.007,28.32,2025-02-19 01:50:18,121.786,9008.647,9130.432
Zone-2,21.245713,81.61603,0,0.127,17.67,2025-06-21 13:13:11,448.746,3922.798,4371.544
Zone-7,21.245082,81.606987,0,0.034,29.28,2025-10-26 23:00:59,321.95,11910.988,12232.938
Zone-4,21.232521,81.631032,0,0.082,28.98,2025-04-26 13:58:07,323.754,30106.225,30429.979
Zone-6,21.277908,81.617032,0,0.014,17.42,2025-09-23 01:50:42,-159.762,16135.975,15976.212
Zone-4,21.225907,81.645165,0,0.087,12.13,2025-07-04 01:00:04,451.085,6254.007,6705.092
Zone-1,21.269411,81.632711,1,7.364,44.26,2025-02-18 05:58:27,8176.36,0.0,8176.36
Zone-4,21.232568,81.638468,0,0.105,29.73,2025-02-03 11:33:41,553.593,8407.351,8960.944
Zone-10,21.249484,81.651279,0,0.139,23.97,2025-03-27 22:25:26,962.627,29326.558,30289.185
Zone-11,21.263746,81.603961,0,0.074,23.36,2025-10-04 08:40:51,340.275,18211.228,18551.502
Zone-7,21.249719,81.594911,0,0.066,19.93,2025-03-14 17:53:31,652.025,18110.843,18762.868
Zone-3,21.271915,81.645952,0,0.144,27.87,2025-01-06 17:14:43,284.235,23204.432,23488.667
Zone-8,21.231419,81.628238,0,0.122,19.55,2025-04-01 03:21:28,1084.385,20331.958,21416.343
Zone-7,21.252892,81.608577,0,0.139,13.59,2025-09-12 04:48:43,71.39,11246.6,11317.989
Zone-10,21.245245,81.643751,1,5.747,63.31,2025-09-14 04:22:19,19657.015,0.0,19657.015
Zone-4,21.233174,81.633006,0,0.056,13.34,2025-04-16 12:34:06,57.698,8277.597,8335.295
Zone-1,21.263086,81.636813,1,6.705,66.47,2025-01-17 07:24:23,21011.887,0.0,21011.887
Zone-2,21.243641,81.613153,0,0.105,19.12,2025-08-17 23:13:37,956.066,10258.413,11214.479
Zone-7,21.249558,81.60783,0,0.007,27.64,2025-11-02 04:13:46,591.392,15737.266,16328.658
Zone-7,21.245699,81.609776,0,0.017,14.79,2025-07-23 19:17:05,-84.069,8490.934,8406.866
Zone-6,21.275554,81.619793,0,0.109,25.31,2025-06-06 06:38:36,496.148,4913.665,5409.813
Zone-1,21.262461,81.633844,0,0.108,17.18,2025-01-14 15:40:05,506.462,14489.575,14996.036
Zone-9,21.269535,81.601442,0,0.14,14.29,2025-10-29 00:05:04,411.583,8393.967,8805.549
Zone-5,21.260236,81.608956,0,0.067,17.3,2025-04-03 02:17:49,86.048,9386.172,9472.22
Zone-8,21.233703,81.633027,0,0.076,21.65,2025-05-02 20:04:12,24.601,6951.922,6976.523
Zone-12,21.240904,81.654158,0,0.083,13.54,2025-05-09 17:56:03,183.958,13041.548,13225.505
Zone-8,21.235103,81.628116,0,0.056,19.62,2025-10-03 19:58:54,278.139,4053.625,4331.765
Zone-1,21.262918,81.63141,0,0.124,25.6,2025-08-22 18:12:00,346.587,4992.657,5339.244
Zone-3,21.274684,81.65294,0,0.134,13.55,2025-05-25 19:49:08,457.989,4712.252,5170.241
Zone-1,21.260281,81.626917,0,0.142,21.49,2025-06-28 08:17:21,1140.288,29975.715,31116.003
Zone-10,21.249373,81.648024,0,0.104,21.93,2025-08-22 00:28:43,779.898,27557.299,28337.198
Zone-10,21.243612,81.645802,0,0.019,19.45,2025-09-10 07:59:24,15.242,2131.693,2146.935
Zone-12,21.24668,81.656311,0,0.134,19.55,2025-01-17 22:58:56,377.034,4879.446,5256.48
Zone-3,21.278017,81.645732,0,0.025,13.15,2025-06-20 11:24:13,-57.525,5810.038,5752.513
Zone-12,21.235331,81.660961,0,0.005,27.04,2025-08-23 14:10:51,72.676,2864.28,2936.956
Zone-1,21.264984,81.631835,0,0.039,14.53,2025-01-04 14:22:34,92.764,5446.662,5539.427
Zone-5,21.260642,81.619858,1,4.388,29.01,2025-01-27 23:02:53,29393.705,3813.697,33207.402
Zone-2,21.243613,81.622748,1,2.103,57.68,2025-05-08 07:45:18,9783.452,0.0,9783.452
Zone-8,21.234966,81.628628,0,0.067,10.07,2025-09-19 01:47:09,99.887,2394.721,2494.607
Zone-10,21.247211,81.645923,0,0.083,17.69,2025-05-04 07:02:37,335.319,7887.553,8222.872
Zone-3,21.274862,81.65191,0,0.091,10.45,2025-04-05 10:20:43,162.323,556.577,718.9
Zone-2,21.24213,81.614148,0,0.085,20.49,2025-06-17 07:22:57,460.378,13460.594,13920.972
Zone-2,21.252108,81.615315,0,0.077,16.0,2025-07-21 20:12:43,60.051,4144.779,4204.83
Zone-11,21.263111,81.604376,0,0.108,10.96,2025-10-31 22:12:09,306.578,5241.581,5548.159
Zone-8,21.23629,81.629017,0,0.084,29.09,2025-01-08 14:56:38,425.42,2289.525,2714.945
Zone-6,21.27272,81.62144,0,0.149,18.34,2025-04-10 22:33:03,298.494,6846.488,7144.982
Zone-11,21.259325,81.602502,1,6.536,68.59,2025-01-20 03:28:00,1045.434,0.0,1045.434
Zone-5,21.256203,81.614821,1,3.971,79.36,2025-07-23 10:40:30,2426.922,0.0,2426.922
Zone-6,21.277281,81.619811,0,0.091,28.96,2025-01-04 03:19:41,469.707,4003.855,4473.563
Zone-6,21.284871,81.62356,0,0.045,28.07,2025-02-19 12:43:09,92.642,2223.433,2316.075
Zone-4,21.231338,81.642401,0,0.135,12.47,2025-04-26 07:31:06,446.618,3773.305,4219.923
Zone-4,21.231747,81.640457,1,2.463,27.56,2025-01-01 20:28:37,5543.358,0.0,5543.358
Zone-9,21.271447,81.60742,1,0.078,18.55,2025-03-19 05:18:04,319.628,26979.607,27299.236
Zone-11,21.263355,81.595333,0,0.129,10.26,2025-07-11 02:18:23,124.863,4516.652,4641.514
Zone-11,21.251377,81.59638,0,0.099,21.29,2025-04-13 16:20:40,1613.109,30273.814,31886.923
Zone-12,21.240808,81.656237,0,0.148,12.07,2025-05-02 19:51:05,437.737,14599.692,15037.429
Zone-2,21.247933,81.61334,0,0.13,13.54,2025-02-22 03:41:02,412.268,3636.2,4048.468
Zone-1,21.261456,81.624977,0,0.123,25.97,2025-11-01 10:10:53,1253.125,11000.43,12253.555
Zone-10,21.238153,81.64768,0,0.146,20.46,2025-08-21 05:09:53,140.643,4797.232,4937.875
Zone-10,21.245575,81.644661,1,4.354,33.89,2025-08-14 12:01:03,7970.18,1124.639,9094.819
Zone-11,21.266098,81.59822,0,0.007,26.35,2025-09-10 09:27:19,-204.546,20659.118,20454.572
Zone-1,21.260373,81.625869,0,0.115,26.26,2025-02-05 20:17:02,-40.279,14525.738,14485.459
Zone-8,21.233998,81.626218,0,0.112,23.54,2025-04-01 01:31:06,774.864,8450.317,9225.181
Zone-5,21.257621,81.616028,0,0.112,27.38,2025-01-24 16:09:58,868.793,11694.49,12563.283
Zone-1,21.263588,81.632123,0,0.007,13.17,2025-02-09 07:47:28,552.167,12488.071,13040.238
Zone-4,21.226253,81.646792,0,0.043,29.63,2025-05-11 10:44:03,24.982,1910.793,1935.775
Zone-2,21.243719,81.615092,0,0.051,17.24,2025-03-10 06:17:47,-255.013,25756.325,25501.312
Zone-2,21.243867,81.619578,0,0.088,14.81,2025-02-13 00:59:37,-9.923,8864.816,8854.893
Zone-10,21.243428,81.6441,1,7.807,69.72,2025-04-15 04:49:29,17655.54,0.0,17655.54
Zone-12,21.240938,81.657404,0,0.133,16.77,2025-07-22 20:36:25,120.433,2809.569,2930.002
Zone-8,21.234931,81.631423,0,0.074,13.42,2025-06-30 02:33:44,561.766,3597.641,4159.407
Zone-12,21.243432,81.651687,0,0.065,28.41,2025-04-25 15:45:00,128.464,2198.607,2327.071
Zone-12,21.241557,81.657928,0,0.067,28.73,2025-06-01 02:29:34,233.715,5819.165,6052.88
Zone-12,21.231877,81.656999,0,0.0,15.21,2025-09-20 09:15:14,707.005,31856.077,32563.082
Zone-3,21.278791,81.646995,1,5.06,31.66,2025-06-11 17:18:22,1945.169,0.0,1945.169
Zone-3,21.272745,81.648668,1,6.827,78.87,2025-08-24 07:19:45,5357.074,0.0,5357.074
Zone-8,21.234963,81.631138,0,0.131,24.93,2025-04-17 05:27:52,45.109,6347.427,6392.536
Zone-4,21.22703,81.636754,1,7.312,65.16,2025-01-27 23:21:33,6312.153,0.0,6312.153
Zone-12,21.238817,81.656534,0,0.028,17.05,2025-09-17 06:17:20,-129.068,14132.442,14003.374
Zone-9,21.271851,81.609885,0,0.019,13.41,2025-05-20 01:35:58,-13.784,1417.492,1403.708
Zone-2,21.243219,81.610856,0,5.731,37.84,2025-04-07 13:38:42,3598.673,0.0,3598.673
Zone-1,21.260846,81.627675,1,2.259,68.51,2025-01-15 16:55:39,11935.262,1316.616,13251.878
Zone-2,21.241995,81.610073,0,0.149,18.88,2025-01-07 04:03:40,646.772,12539.36,13186.133
Zone-1,21.265542,81.629203,0,0.048,19.26,2025-05-25 20:24:54,209.75,5224.206,5433.957
Zone-9,21.270932,81.613751,0,0.091,24.6,2025-04-25 20:21:05,201.515,10447.903,10649.418
Zone-9,21.257969,81.612285,0,0.061,29.98,2025-03-22 10:50:47,236.501,7461.432,7697.933
Zone-5,21.261344,81.615152,0,0.119,25.02,2025-06-04 12:25:01,380.817,4076.765,4457.582
Zone-12,21.243635,81.653368,0,0.04,25.34,2025-02-02 21:38:18,202.635,7169.302,7371.937
Zone-8,21.226041,81.630764,0,0.014,13.57,2025-08-30 01:37:19,75.966,8731.374,8807.34
Zone-9,21.266485,81.603073,0,0.115,13.61,2025-11-07 07:25:57,-222.335,22455.83,22233.495
Zone-2,21.240294,81.620832,0,0.131,20.67,2025-11-03 08:40:19,78.358,469.644,548.003
Zone-11,21.263294,81.600069,0,0.094,22.46,2025-04-29 17:06:07,459.84,27067.101,27526.941
Zone-4,21.234431,81.642266,0,0.025,24.35,2025-07-13 21:49:37,1016.47,25375.328,26391.798
Zone-9,21.271498,81.608364,0,0.115,18.95,2025-09-06 11:18:41,797.023,4849.347,5646.37
Zone-8,21.230623,81.633722,0,0.087,26.52,2025-10-01 17:58:53,394.817,8264.962,8659.779
Zone-6,21.284974,81.625565,0,0.035,20.25,2025-03-16 09:01:05,53.626,3230.729,3284.355
Zone-8,21.236663,81.628641,0,0.072,18.0,2025-11-07 21:19:18,-84.816,8566.382,8481.566
Zone-8,21.239132,81.631568,0,0.142,24.23,2025-07-20 20:46:24,414.226,14138.443,14552.669
Zone-9,21.274885,81.610536,0,0.011,29.08,2025-07-03 20:24:20,43.175,1002.891,1046.066
Zone-11,21.258914,81.603066,0,0.137,29.98,2025-02-27 22:47:52,836.65,9967.255,10803.906
Zone-6,21.275173,81.615837,0,0.141,28.13,2025-06-14 01:24:09,819.152,4996.739,5815.891
Zone-7,21.246565,81.611721,0,0.011,26.49,2025-04-13 06:58:54,436.206,14636.488,15072.695
Zone-3,21.272683,81.652291,1,4.871,69.27,2025-10-17 18:40:49,29763.425,229.031,29992.456
Zone-11,21.265885,81.605942,0,0.133,16.85,2025-01-24 07:43:42,169.668,3932.511,4102.18
Zone-6,21.280431,81.624517,0,0.015,13.56,2025-11-07 12:08:50,-113.863,11500.196,11386.333
Zone-7,21.2438,81.606318,1,7.225,72.55,2025-06-25 05:02:02,19680.749,0.0,19680.749
Zone-11,21.264761,81.60415,0,0.066,21.99,2025-10-08 01:54:40,-220.675,22288.129,22067.455
Zone-8,21.23136,81.632046,0,0.119,19.64,2025-07-24 00:09:38,228.034,6439.924,6667.958
Zone-10,21.247036,81.649616,1,7.839,55.31,2025-11-02 18:49:36,2302.091,0.0,2302.091
Zone-1,21.261062,81.625775,0,0.014,20.98,2025-10-06 16:45:23,185.811,23174.717,23360.528
Zone-3,21.279852,81.649403,0,0.04,28.57,2025-06-21 01:25:00,32.166,4727.923,4760.089
Zone-12,21.240455,81.652669,0,0.027,22.28,2025-06-05 02:08:08,-10.062,5313.887,5303.824
Zone-3,21.280268,81.648273,0,0.027,25.45,2025-07-31 02:54:38,81.881,2580.056,2661.937
Zone-1,21.2655,81.639839,0,0.032,17.56,2025-03-26 21:42:42,497.879,10665.632,11163.512
Zone-7,21.24905,81.612488,0,0.065,17.97,2025-04-15 20:05:45,414.679,1291.186,1705.865
Zone-9,21.275535,81.609612,0,0.019,27.37,2025-03-21 00:21:20,-213.783,21592.074,21378.291
Zone-7,21.249847,81.608275,0,0.061,17.49,2025-03-11 21:32:51,-50.907,22245.085,22194.178
Zone-5,21.262551,81.610096,0,0.094,11.68,2025-06-06 11:59:22,193.478,3399.763,3593.241
Zone-2,21.240903,81.616381,0,0.004,26.21,2025-01-19 13:03:25,418.214,11764.804,12183.018
Zone-5,21.25277,81.617243,0,0.025,26.35,2025-03-22 08:40:37,51.807,624.89,676.697
Zone-10,21.246991,81.65256,0,0.028,12.77,2025-08-31 00:56:56,6.38,4371.721,4378.101
Zone-10,21.248773,81.644965,0,0.085,18.05,2025-04-02 12:20:34,191.259,9771.911,9963.17
Zone-6,21.279268,81.623918,0,0.143,26.88,2025-05-30 22:49:49,308.06,5682.874,5990.934
Zone-8,21.23336,81.629767,0,0.059,19.93,2025-07-14 04:50:38,164.461,1528.796,1693.257
Zone-11,21.263711,81.598233,0,0.078,29.59,2025-02-15 16:35:07,138.852,11653.586,11792.438
Zone-3,21.269804,81.644111,0,0.084,28.94,2025-10-12 23:28:04,30.426,24296.999,24327.425
Zone-8,21.241145,81.629817,0,0.045,28.82,2025-06-01 02:53:19,175.155,23226.5,23401.655
Zone-8,21.236018,81.627513,0,0.119,19.08,2025-06-25 12:08:33,109.716,1905.394,2015.111
Zone-7,21.250714,81.607493,0,0.051,24.53,2025-02-16 23:29:14,58.903,4122.388,4181.291
Zone-12,21.232797,81.653453,0,0.09,23.38,2025-11-06 03:19:58,92.255,1951.413,2043.668
Zone-3,21.268343,81.649494,0,0.11,27.78,2025-10-11 05:05:21,727.972,11261.941,11989.913
Zone-8,21.232553,81.629852,0,0.092,15.61,2025-09-17 06:16:31,677.874,4699.256,5377.13
Zone-9,21.275974,81.610707,0,0.12,10.46,2025-10-26 02:17:26,648.224,12968.829,13617.053
Zone-4,21.228508,81.647701,0,0.143,26.03,2025-07-15 19:26:25,1063.028,22399.678,23462.706
Zone-3,21.279832,81.640017,0,0.006,13.88,2025-01-30 23:13:50,-65.772,7934.157,7868.385
Zone-3,21.272683,81.647759,0,0.068,24.93,2025-09-15 07:59:37,814.026,13309.58,14123.606
Zone-10,21.23807,81.642806,0,0.045,28.95,2025-01-13 16:11:06,621.199,9844.845,10466.044
Zone-8,21.237309,81.625084,0,0.063,25.88,2025-04-16 23:01:33,-56.908,8296.14,8239.232
Zone-4,21.23093,81.643606,0,0.111,15.6,2025-05-10 08:25:28,1093.583,22102.398,23195.981
Zone-4,21.226537,81.643223,0,0.03,24.32,2025-10-05 10:48:18,31.307,872.37,903.677
Zone-7,21.246233,81.60214,0,0.126,26.43,2025-01-15 16:05:07,122.382,1817.038,1939.42
Zone-7,21.255849,81.595671,0,0.039,27.36,2025-06-25 12:52:05,143.557,1565.233,1708.79
Zone-12,21.23962,81.655927,0,0.101,10.89,2025-04-07 12:54:19,694.238,19439.967,20134.204
Zone-8,21.238126,81.628299,0,0.127,16.76,2025-05-27 10:38:34,884.63,5481.362,6365.992
Zone-5,21.251847,81.610768,0,0.069,16.49,2025-10-12 15:27:25,102.735,7530.071,7632.806
Zone-7,21.259371,81.605579,0,0.07,24.02,2025-02-10 17:52:17,554.737,17663.08,18217.817
Zone-11,21.265221,81.599204,0,0.039,29.41,2025-06-26 10:21:01,148.507,10586.625,10735.132
Zone-3,21.266807,81.648807,0,0.1,27.29,2025-01-12 17:21:05,337.165,8971.046,9308.21
Zone-2,21.244731,81.620047,0,0.096,17.59,2025-09-13 12:38:51,172.984,6303.111,6476.095
Zone-8,21.238144,81.632355,1,2.415,58.3,2025-04-15 07:23:15,4145.353,0.0,4145.353
Zone-7,21.2544,81.604623,0,0.103,15.45,2025-07-19 09:47:27,93.281,4605.845,4699.126
Zone-3,21.269271,81.65036,0,0.095,11.37,2025-02-02 17:50:16,358.543,9284.837,9643.38
Zone-9,21.268081,81.609879,0,0.01,21.49,2025-01-04 04:13:08,19.973,4998.689,5018.663
Zone-8,21.237638,81.634535,0,0.092,11.31,2025-06-22 23:49:27,141.315,11477.1,11618.415
Zone-4,21.230265,81.64314,0,0.091,22.19,2025-05-04 09:58:46,1005.277,11135.779,12141.056
Zone-6,21.275387,81.613251,0,0.099,18.84,2025-03-15 06:22:03,506.753,5651.527,6158.28
Zone-7,21.244112,81.599505,0,0.101,15.39,2025-01-09 02:23:49,123.616,8889.045,9012.661
