zone_id,latitude,longitude,Predicted_Leak,flowrate_lps,leak_pressure_psi,timestamp,usage_difference,water_consumed_litres,water_supplied_litres,Dummy_Leak
Zone-10,21.250105,81.650944,0,0.066,11.59,2025-01-06 05:48:00,1358.093,27648.636,29006.729,No
Zone-3,21.268538,81.656799,1,8.044,76.89,2025-07-11 00:42:52,29822.587,0.0,29822.587,Yes
Zone-1,21.27113,81.626564,0,0.116,25.62,2025-02-14 05:02:07,888.003,22632.352,23520.354,No
Zone-4,21.227713,81.643623,1,5.188,27.66,2025-10-11 10:20:23,21210.664,0.0,21210.664,No
Zone-3,21.274489,81.650097,0,0.118,15.88,2025-10-10 05:56:14,1307.066,21086.573,22393.639,No
Zone-12,21.242728,81.660053,0,0.026,24.46,2025-09-11 12:20:34,-228.582,25139.02,24910.438,No
Zone-12,21.237822,81.657457,0,0.106,29.44,2025-05-15 00:20:19,211.115,4024.427,4235.542,No
Zone-5,21.253764,81.614555,0,0.094,17.51,2025-03-05 02:08:45,157.357,16146.023,16303.38,No
Zone-4,21.235482,81.633185,0,0.082,13.79,2025-07-22 05:09:37,543.869,10720.119,11263.988,No
Zone-9,21.272476,81.608498,0,0.118,20.65,2025-07-09 15:26:16,389.509,8499.978,8889.488,No
Zone-3,21.279344,81.650899,0,0.026,20.05,2025-11-07 15:29:14,72.858,3185.282,3258.14,No
Zone-1,21.26719,81.634902,0,0.049,17.52,2025-05-20 22:56:21,44.938,22594.503,22639.441,No
Zone-1,21.266853,81.634762,1,3.008,66.08,2025-07-22 04:48:04,4460.864,2400.613,6861.476,No
Zone-11,21.257289,81.599802,0,0.068,16.44,2025-07-16 11:52:04,134.589,16995.333,17129.922,No
Zone-9,21.269278,81.609729,0,0.062,23.85,2025-07-18 07:02:49,116.435,1769.43,1885.865,No
Zone-9,21.262792,81.61514,0,0.012,10.75,2025-04-19 12:49:34,607.225,14410.052,15017.276,No
Zone-7,21.252508,81.60538,0,0.12,28.91,2025-01-29 21:50:04,153.177,8115.103,8268.28,No
Zone-1,21.259374,81.631862,0,0.143,28.3,2025-09-14 19:25:15,268.477,8453.41,8721.887,No
Zone-2,21.247222,81.618746,0,0.075,24.01,2025-09-27 18:19:20,119.247,7474.684,7593.93,No
Zone-11,21.261936,81.598245,0,0.085,22.77,2025-10-01 03:31:33,3.951,18137.135,18141.086,No
Zone-6,21.275203,81.622998,0,0.074,18.23,2025-09-25 15:54:28,-26.829,2709.704,2682.875,No
Zone-5,21.256118,81.607469,0,0.083,25.1,2025-10-10 03:33:25,37.885,13631.455,13669.34,No
Zone-10,21.246131,81.649856,0,0.123,17.89,2025-01-30 23:38:32,1418.071,10959.013,12377.084,No
Zone-1,21.263875,81.630964,0,0.074,29.83,2025-03-19 15:13:32,-121.499,13415.543,13294.044,No
Zone-10,21.244541,81.64562,0,0.01,25.51,2025-03-27 12:34:29,16.246,873.07,889.316,No
Zone-12,21.240758,81.659004,0,0.116,22.04,2025-07-21 03:42:58,660.467,10204.475,10864.942,No
Zone-12,21.238717,81.662181,0,0.041,26.14,2025-03-01 09:58:51,-202.598,20462.42,20259.821,No
Zone-12,21.245982,81.653861,1,3.708,37.65,2025-05-21 12:04:45,3277.371,0.0,3277.371,No
Zone-12,21.235385,81.656835,0,0.028,22.07,2025-03-31 05:37:25,-141.409,14282.294,14140.885,No
Zone-1,21.261254,81.627265,0,0.024,19.73,2025-09-07 00:13:18,865.791,20403.395,21269.186,No
Zone-12,21.23261,81.654094,0,0.102,13.9,2025-04-02 22:40:10,302.032,22454.394,22756.426,No
Zone-4,21.225036,81.642246,0,0.102,23.61,2025-06-12 01:49:43,300.24,7563.095,7863.335,No
Zone-4,21.223039,81.636516,0,0.05,20.63,2025-10-19 11:42:46,621.509,19611.275,20232.784,No
Zone-6,21.279264,81.623316,0,0.048,11.85,2025-03-06 17:04:41,-160.844,16245.268,16084.424,No
Zone-3,21.275902,81.650861,0,0.073,13.19,2025-07-31 03:45:58,209.932,9835.842,10045.773,No
Zone-6,21.282465,81.62254,0,0.137,23.32,2025-02-23 01:43:46,766.635,5373.819,6140.454,No
Zone-11,21.253471,81.602879,0,0.137,10.72,2025-05-14 12:22:04,860.966,3863.233,4724.199,No
Zone-10,21.242873,81.64667,0,0.041,18.91,2025-01-02 23:19:35,288.698,3877.668,4166.366,No
Zone-8,21.23577,81.629424,0,0.121,27.77,2025-05-15 15:31:33,1402.09,21522.884,22924.974,No
Zone-5,21.249293,81.615277,0,0.011,26.25,2025-07-20 03:43:23,21.218,6912.049,6933.268,No
Zone-2,21.239974,81.623117,0,0.087,13.1,2025-09-08 08:43:37,134.165,649.133,783.298,No
Zone-3,21.27249,81.644537,0,0.088,23.3,2025-10-12 04:39:59,-18.526,3803.155,3784.628,No
Zone-9,21.266759,81.615954,1,7.965,78.36,2025-06-26 06:53:53,2643.973,0.0,2643.973,Yes
Zone-11,21.261128,81.601744,0,0.02,13.64,2025-09-28 09:46:54,-175.956,17771.585,17595.629,No
Zone-8,21.240102,81.629393,0,0.101,23.94,2025-04-28 07:58:41,167.556,9011.711,9179.266,No
Zone-9,21.272535,81.611655,0,0.035,17.82,2025-01-04 18:07:41,-26.079,2633.972,2607.893,No
Zone-1,21.261596,81.62772,1,4.207,54.55,2025-10-23 03:45:06,12616.895,0.0,12616.895,No
Zone-2,21.249074,81.620342,1,2.71,62.06,2025-11-04 01:41:24,10044.708,5499.442,15544.15,No
Zone-8,21.232185,81.62579,0,0.009,12.13,2025-01-18 17:46:27,6.344,804.435,810.779,No
Zone-1,21.269423,81.630875,0,0.074,28.92,2025-07-03 00:05:07,447.687,8303.566,8751.254,No
Zone-12,21.245126,81.653462,0,0.03,20.91,2025-06-14 09:21:27,-102.301,20952.233,20849.932,No
Zone-2,21.241626,81.612881,0,0.145,18.93,2025-07-02 00:34:54,1584.496,28020.617,29605.113,No
Zone-11,21.267528,81.605382,0,0.068,12.26,2025-09-10 09:18:09,230.9,8716.69,8947.589,No
Zone-12,21.24037,81.653544,0,0.123,28.22,2025-08-27 08:10:56,722.462,6728.189,7450.651,No
Zone-4,21.23879,81.644808,0,0.02,21.85,2025-01-13 20:14:40,67.458,3695.761,3763.219,No
Zone-7,21.248503,81.606501,0,0.021,12.46,2025-08-03 09:59:27,-146.53,14799.519,14652.989,No
Zone-11,21.2618,81.587675,0,0.1,16.52,2025-02-19 01:50:18,212.212,5117.359,5329.571,No
Zone-2,21.242984,81.618863,0,0.047,27.17,2025-06-21 13:13:11,14.318,12425.221,12439.539,No
Zone-7,21.249179,81.614337,0,0.03,17.9,2025-10-26 23:00:59,-136.118,13747.928,13611.81,No
Zone-4,21.228426,81.632363,0,0.009,29.97,2025-04-26 13:58:07,-13.79,26118.754,26104.964,No
Zone-6,21.281829,81.625411,0,0.003,12.24,2025-09-23 01:50:42,764.785,29766.951,30531.735,No
Zone-4,21.232756,81.638624,0,0.007,22.4,2025-07-04 01:00:04,94.92,6421.614,6516.534,No
Zone-1,21.266642,81.635076,0,0.149,20.62,2025-02-18 05:58:27,278.958,438.697,717.655,No
Zone-4,21.234091,81.641212,0,0.071,16.21,2025-02-03 11:33:41,287.902,1779.22,2067.122,No
Zone-10,21.237853,81.656567,0,0.029,17.81,2025-03-27 22:25:26,515.095,13776.045,14291.14,No
Zone-11,21.259562,81.600552,0,0.112,14.08,2025-10-04 08:40:51,303.404,6302.074,6605.478,No
Zone-7,21.247371,81.602209,1,1.238,60.46,2025-03-14 17:53:31,7677.613,3350.157,11027.77,No
Zone-3,21.272639,81.646666,0,0.038,19.06,2025-01-06 17:14:43,90.514,2881.174,2971.688,No
Zone-8,21.235385,81.629775,0,0.033,12.38,2025-04-01 03:21:28,272.333,5825.639,6097.973,No
Zone-7,21.25115,81.5993,0,0.04,20.89,2025-09-12 04:48:43,114.163,4222.516,4336.679,No
Zone-10,21.245909,81.640638,0,0.146,15.42,2025-09-14 04:22:19,235.177,14279.004,14514.182,No
Zone-4,21.23557,81.639,0,0.056,22.02,2025-04-16 12:34:06,365.915,12492.003,12857.918,No
Zone-1,21.263348,81.637285,0,0.034,12.9,2025-01-17 07:24:23,153.37,20413.423,20566.793,No
Zone-2,21.245426,81.618841,1,0.121,27.89,2025-08-17 23:13:37,525.139,28105.764,28630.903,No
Zone-7,21.250998,81.595237,0,0.092,28.06,2025-11-02 04:13:46,928.977,21534.654,22463.632,No
Zone-7,21.242914,81.606516,0,0.124,13.27,2025-07-23 19:17:05,397.407,2695.05,3092.458,No
Zone-6,21.27532,81.608511,0,0.066,24.59,2025-06-06 06:38:36,471.068,6734.814,7205.882,No
Zone-1,21.268146,81.634733,0,0.048,19.57,2025-01-14 15:40:05,97.899,19501.953,19599.852,No
Zone-9,21.269665,81.613584,0,0.039,14.49,2025-10-29 00:05:04,68.0,3406.376,3474.376,No
Zone-5,21.256035,81.618802,0,0.035,13.51,2025-04-03 02:17:49,225.99,7307.595,7533.584,No
Zone-8,21.238446,81.628201,0,0.145,13.66,2025-05-02 20:04:12,353.386,5121.449,5474.835,No
Zone-12,21.244465,81.65344,0,0.024,21.73,2025-05-09 17:56:03,123.534,20115.419,20238.954,No
Zone-8,21.231395,81.633886,0,0.094,11.0,2025-10-03 19:58:54,969.659,17389.799,18359.458,No
Zone-1,21.2636,81.630497,0,0.132,22.85,2025-08-22 18:12:00,381.587,4307.667,4689.254,No
Zone-3,21.278583,81.653191,0,0.132,15.92,2025-05-25 19:49:08,99.824,21206.661,21306.485,No
Zone-1,21.267193,81.632452,0,0.111,25.95,2025-06-28 08:17:21,916.931,11127.104,12044.035,No
Zone-10,21.245141,81.640653,0,0.105,19.12,2025-08-22 00:28:43,945.459,10144.604,11090.063,No
Zone-10,21.243635,81.646047,0,0.001,24.98,2025-09-10 07:59:24,46.998,1995.329,2042.328,No
Zone-12,21.237372,81.65414,0,0.114,26.57,2025-01-17 22:58:56,157.218,12669.333,12826.551,No
Zone-3,21.274928,81.642727,1,5.383,89.85,2025-06-20 11:24:13,5612.75,0.0,5612.75,Yes
Zone-12,21.235409,81.649867,0,0.034,24.84,2025-08-23 14:10:51,237.951,10453.312,10691.263,No
Zone-1,21.26713,81.627423,0,0.006,16.11,2025-01-04 14:22:34,-74.464,11813.392,11738.928,No
Zone-5,21.254084,81.61536,1,0.567,77.61,2025-01-27 23:02:53,3911.435,1695.511,5606.946,No
Zone-2,21.245307,81.613034,0,0.1,19.09,2025-05-08 07:45:18,-55.607,23113.0,23057.393,No
Zone-8,21.234907,81.633532,0,0.08,10.29,2025-09-19 01:47:09,142.998,1534.74,1677.737,No
Zone-10,21.241936,81.644751,0,0.06,29.69,2025-05-04 07:02:37,-162.225,16384.718,16222.493,No
Zone-3,21.280023,81.651661,0,0.123,27.25,2025-04-05 10:20:43,278.064,3064.238,3342.303,No
Zone-2,21.246208,81.622896,0,0.087,13.69,2025-06-17 07:22:57,586.654,9241.888,9828.543,No
Zone-2,21.246666,81.619681,0,0.009,16.45,2025-07-21 20:12:43,56.109,2611.025,2667.134,No
Zone-11,21.257844,81.594678,0,0.094,11.81,2025-10-31 22:12:09,165.38,12770.121,12935.501,No
Zone-8,21.233495,81.622573,0,0.149,18.88,2025-01-08 14:56:38,439.53,8521.432,8960.962,No
Zone-6,21.278257,81.626048,0,0.022,15.86,2025-04-10 22:33:03,104.612,1973.327,2077.938,No
Zone-11,21.255886,81.59267,0,0.105,25.1,2025-01-20 03:28:00,353.779,8683.522,9037.301,No
Zone-5,21.256705,81.611078,0,0.022,13.7,2025-07-23 10:40:30,50.423,913.369,963.792,No
Zone-6,21.278276,81.622743,1,3.73,25.74,2025-01-04 03:19:41,12840.282,0.0,12840.282,No
Zone-6,21.277258,81.618439,1,3.207,47.69,2025-02-19 12:43:09,2525.081,0.0,2525.081,No
Zone-4,21.233606,81.636963,0,0.008,25.27,2025-04-26 07:31:06,152.605,5495.954,5648.558,No
Zone-4,21.232055,81.637354,0,0.116,14.35,2025-01-01 20:28:37,382.211,871.451,1253.663,No
Zone-9,21.271447,81.60742,0,0.078,18.55,2025-03-19 05:18:04,319.628,26979.607,27299.236,No
Zone-11,21.255078,81.601657,0,0.008,12.4,2025-07-11 02:18:23,-10.274,1179.089,1168.815,No
Zone-11,21.253129,81.59772,0,0.054,17.06,2025-04-13 16:20:40,1849.876,23884.289,25734.165,No
Zone-12,21.241563,81.654616,0,0.082,21.67,2025-05-02 19:51:05,371.627,2417.745,2789.373,No
Zone-2,21.243376,81.625514,1,5.62,62.92,2025-02-22 03:41:02,9184.593,0.0,9184.593,No
Zone-1,21.261656,81.625559,0,0.141,13.62,2025-11-01 10:10:53,1629.449,19447.509,21076.958,No
Zone-10,21.242061,81.648271,0,0.017,15.96,2025-08-21 05:09:53,56.706,2397.869,2454.575,No
Zone-10,21.24653,81.639751,1,4.024,47.77,2025-08-14 12:01:03,1351.258,0.0,1351.258,No
Zone-11,21.258908,81.598798,0,0.02,12.21,2025-09-10 09:27:19,1088.33,29716.045,30804.375,No
Zone-1,21.268036,81.633125,0,0.073,15.14,2025-02-05 20:17:02,323.228,8706.308,9029.536,No
Zone-8,21.240053,81.627002,0,0.075,11.42,2025-04-01 01:31:06,230.679,18754.792,18985.47,No
Zone-5,21.255601,81.61785,0,0.136,28.02,2025-01-24 16:09:58,430.665,16285.831,16716.496,No
Zone-1,21.268075,81.635156,0,0.114,17.08,2025-02-09 07:47:28,242.342,10138.395,10380.738,No
Zone-4,21.224344,81.635512,0,0.012,24.17,2025-05-11 10:44:03,73.477,3273.498,3346.976,No
Zone-2,21.241539,81.621132,0,0.146,11.69,2025-03-10 06:17:47,681.637,12164.538,12846.174,No
Zone-2,21.239558,81.613441,0,0.103,14.37,2025-02-13 00:59:37,103.543,7686.199,7789.742,No
Zone-10,21.246047,81.645984,0,0.118,14.56,2025-04-15 04:49:29,801.229,9914.615,10715.845,No
Zone-12,21.24289,81.655775,1,0.624,50.53,2025-07-22 20:36:25,940.717,1091.467,2032.185,No
Zone-8,21.228689,81.626873,0,0.105,12.48,2025-06-30 02:33:44,1068.759,11667.866,12736.624,No
Zone-12,21.235449,81.655098,0,0.089,18.3,2025-04-25 15:45:00,77.426,3728.798,3806.224,No
Zone-12,21.236866,81.651428,0,0.087,21.33,2025-06-01 02:29:34,411.957,3468.542,3880.499,No
Zone-12,21.236793,81.648901,0,0.038,21.05,2025-09-20 09:15:14,168.071,29910.932,30079.003,No
Zone-3,21.27079,81.647485,1,9.359,70.79,2025-06-11 17:18:22,5947.352,0.0,5947.352,Yes
Zone-3,21.272745,81.648668,1,5.14,78.97,2025-08-24 07:19:45,5357.074,0.0,5357.074,No
Zone-8,21.235949,81.628299,0,0.117,28.54,2025-04-17 05:27:52,225.694,7536.319,7762.012,No
Zone-4,21.2267,81.644787,0,0.089,15.74,2025-01-27 23:21:33,199.545,6006.543,6206.088,No
Zone-12,21.239792,81.649553,0,0.13,20.2,2025-09-17 06:17:20,786.986,27309.062,28096.048,No
Zone-9,21.273128,81.608884,1,0.931,26.14,2025-05-20 01:35:58,1020.723,1838.503,2859.226,No
Zone-2,21.248016,81.617178,1,3.779,37.65,2025-04-07 13:38:42,8297.122,1437.63,9734.752,No
Zone-1,21.261807,81.628641,0,0.125,16.65,2025-01-15 16:55:39,860.264,10383.869,11244.133,No
Zone-2,21.243582,81.618295,1,0.137,29.0,2025-01-07 04:03:40,681.067,11083.896,11764.963,No
Zone-1,21.259935,81.626028,0,0.11,10.46,2025-05-25 20:24:54,7.571,9851.648,9859.219,No
Zone-9,21.27072,81.612624,0,0.059,10.24,2025-04-25 20:21:05,128.163,5010.493,5138.655,No
Zone-9,21.274585,81.609608,0,0.117,19.43,2025-03-22 10:50:47,680.41,9113.008,9793.418,No
Zone-5,21.253268,81.609193,0,0.102,14.09,2025-06-04 12:25:01,336.762,3695.556,4032.318,No
Zone-12,21.237903,81.657155,0,0.013,20.23,2025-02-02 21:38:18,-40.115,4051.575,4011.461,No
Zone-8,21.234035,81.627526,1,1.231,76.49,2025-08-30 01:37:19,3437.334,8670.296,12107.63,No
Zone-9,21.274265,81.617822,0,0.107,27.12,2025-11-07 07:25:57,692.578,9370.462,10063.041,No
Zone-2,21.244797,81.616317,0,0.003,26.09,2025-11-03 08:40:19,-7.747,2242.146,2234.399,No
Zone-11,21.252255,81.593027,0,0.123,21.32,2025-04-29 17:06:07,671.154,19574.047,20245.202,No
Zone-4,21.22936,81.642703,0,0.085,12.99,2025-07-13 21:49:37,-8.261,24442.544,24434.282,No
Zone-9,21.267934,81.605907,0,0.004,22.1,2025-09-06 11:18:41,-93.795,9473.262,9379.467,No
Zone-8,21.233477,81.62971,0,0.112,18.56,2025-10-01 17:58:53,-80.215,14352.393,14272.178,No
Zone-6,21.271655,81.620645,0,0.038,26.61,2025-03-16 09:01:05,51.661,5445.467,5497.128,No
Zone-8,21.240111,81.629002,1,1.954,38.45,2025-11-07 21:19:18,6287.192,5087.468,11374.66,No
Zone-8,21.23484,81.628241,0,0.04,21.21,2025-07-20 20:46:24,-37.897,6506.566,6468.669,No
Zone-9,21.273311,81.613877,1,3.918,67.78,2025-07-03 20:24:20,10555.951,17.353,10573.304,No
Zone-11,21.264615,81.600275,0,0.026,22.02,2025-02-27 22:47:52,129.145,7977.245,8106.39,No
Zone-6,21.284202,81.618629,0,0.078,24.73,2025-06-14 01:24:09,-38.349,31785.219,31746.87,No
Zone-7,21.241674,81.607211,0,0.12,14.02,2025-04-13 06:58:54,758.415,9113.407,9871.822,No
Zone-3,21.270506,81.647818,0,0.008,25.58,2025-10-17 18:40:49,747.792,17154.525,17902.318,No
Zone-11,21.253834,81.596387,0,0.022,16.21,2025-01-24 07:43:42,91.332,3633.454,3724.785,No
Zone-6,21.273776,81.624528,0,0.01,21.56,2025-11-07 12:08:50,-109.654,11075.071,10965.417,No
Zone-7,21.246573,81.600735,1,5.528,118.36,2025-06-25 05:02:02,13877.312,0.0,13877.312,Yes
Zone-11,21.254919,81.604619,0,0.144,20.23,2025-10-08 01:54:40,356.034,13210.841,13566.875,No
Zone-8,21.22718,81.63426,0,0.069,11.94,2025-07-24 00:09:38,128.234,16079.544,16207.777,No
Zone-10,21.239974,81.650157,0,0.138,12.82,2025-11-02 18:49:36,380.481,5495.149,5875.63,No
Zone-1,21.267732,81.628444,0,0.011,18.31,2025-10-06 16:45:23,248.497,16871.019,17119.516,No
Zone-3,21.277796,81.65798,1,5.645,92.81,2025-06-21 01:25:00,2873.472,0.0,2873.472,Yes
Zone-12,21.236263,81.656811,1,3.288,27.81,2025-06-05 02:08:08,4263.003,0.0,4263.003,No
Zone-3,21.273998,81.647007,0,0.042,15.5,2025-07-31 02:54:38,246.972,2650.541,2897.512,No
Zone-1,21.270073,81.628202,0,0.035,20.37,2025-03-26 21:42:42,228.94,24422.274,24651.215,No
Zone-7,21.24905,81.612488,0,0.065,17.97,2025-04-15 20:05:45,414.679,1291.186,1705.865,No
Zone-9,21.264859,81.615628,0,0.091,17.07,2025-03-21 00:21:20,547.838,4498.851,5046.689,No
Zone-7,21.245428,81.601437,0,0.003,23.98,2025-03-11 21:32:51,375.765,33701.869,34077.634,No
Zone-5,21.253651,81.614473,0,0.135,19.67,2025-06-06 11:59:22,181.415,8763.986,8945.401,No
Zone-2,21.250904,81.616453,0,0.082,13.37,2025-01-19 13:03:25,234.7,11702.905,11937.605,No
Zone-5,21.254906,81.616669,0,0.032,20.97,2025-03-22 08:40:37,74.613,2168.112,2242.725,No
Zone-10,21.248838,81.649454,0,0.053,17.82,2025-08-31 00:56:56,50.35,4992.115,5042.465,No
Zone-10,21.246476,81.645047,0,0.054,15.21,2025-04-02 12:20:34,207.022,1592.817,1799.839,No
Zone-6,21.278584,81.621224,1,0.049,28.35,2025-05-30 22:49:49,209.15,13338.045,13547.195,No
Zone-8,21.23931,81.634861,0,0.068,19.11,2025-07-14 04:50:38,343.216,4853.762,5196.978,No
Zone-11,21.265772,81.599713,0,0.093,24.43,2025-02-15 16:35:07,497.286,8029.361,8526.647,No
Zone-3,21.269804,81.644111,0,0.084,28.94,2025-10-12 23:28:04,30.426,24296.999,24327.425,No
Zone-8,21.226597,81.621596,0,0.011,16.99,2025-06-01 02:53:19,-263.1,26573.072,26309.972,No
Zone-8,21.238192,81.625293,0,0.121,29.35,2025-06-25 12:08:33,186.513,4310.257,4496.77,No
Zone-7,21.252481,81.604713,0,0.014,27.03,2025-02-16 23:29:14,57.464,2629.115,2686.578,No
Zone-12,21.240254,81.652086,0,0.062,24.93,2025-11-06 03:19:58,146.544,4162.387,4308.931,No
Zone-3,21.269723,81.650132,0,0.104,29.5,2025-10-11 05:05:21,1290.5,19282.387,20572.887,No
Zone-8,21.233242,81.621169,0,0.05,19.64,2025-09-17 06:16:31,290.029,2777.407,3067.436,No
Zone-9,21.268024,81.60639,0,0.022,16.08,2025-10-26 02:17:26,-114.872,13503.64,13388.768,No
Zone-4,21.231173,81.645122,0,0.106,17.46,2025-07-15 19:26:25,705.577,6577.866,7283.443,No
Zone-3,21.267083,81.647924,0,0.13,23.46,2025-01-30 23:13:50,397.556,10348.917,10746.473,No
Zone-3,21.274912,81.647432,0,0.11,15.76,2025-09-15 07:59:37,536.065,23846.607,24382.672,No
Zone-10,21.243013,81.642449,0,0.052,23.22,2025-01-13 16:11:06,253.949,7236.06,7490.009,No
Zone-8,21.234984,81.629835,0,0.039,14.53,2025-04-16 23:01:33,66.404,3898.908,3965.312,No
Zone-4,21.229541,81.642267,0,0.036,24.9,2025-05-10 08:25:28,-185.903,18776.207,18590.304,No
Zone-4,21.232643,81.642013,0,0.149,17.53,2025-10-05 10:48:18,176.993,3476.05,3653.043,No
Zone-7,21.255447,81.607868,0,0.053,18.55,2025-01-15 16:05:07,55.493,700.715,756.208,No
Zone-7,21.242246,81.605508,1,7.251,75.17,2025-06-25 12:52:05,3247.849,0.0,3247.849,Yes
Zone-12,21.23915,81.656002,0,0.019,26.11,2025-04-07 12:54:19,-65.2,6585.174,6519.974,No
Zone-8,21.243714,81.628437,0,0.106,21.47,2025-05-27 10:38:34,399.779,24903.947,25303.726,No
Zone-5,21.256265,81.620465,0,0.067,23.79,2025-10-12 15:27:25,-48.682,7574.323,7525.641,No
Zone-7,21.24548,81.604099,0,0.081,13.97,2025-02-10 17:52:17,377.454,2501.777,2879.23,No
Zone-11,21.256475,81.597538,0,0.115,25.12,2025-06-26 10:21:01,513.855,3468.735,3982.589,No
