zone_id,latitude,longitude,timestamp,flowrate_lps,pressure_psi,water_supplied_litres,water_consumed_litres,usage_difference,leak,Predicted_Leak
Pandri Zone,21.2514,81.6296,2024-01-01 05:40:00,234.96,46.03,140978.05,136693.47,4284.58,0,1
Tatibandh Zone,21.2751,81.5904,2024-01-01 05:50:00,185.84,39.49,111504.13,102133.81,9370.32,0,0
Mowa Zone,21.2542,81.6209,2024-01-01 06:00:00,216.93,42.9,130158.6,120610.75,9547.86,0,1
Pandri Zone,21.2514,81.6296,2024-01-01 06:10:00,197.57,43.69,118541.58,116957.4,1584.18,0,0
Devendra Nagar Zone,21.2519,81.6468,2024-01-01 06:20:00,175.78,26.27,105467.18,94012.97,11454.21,0,0
Telibandha Zone,21.2418,81.6695,2024-01-01 06:30:00,55.58,33.8,33345.15,29687.72,3657.43,0,0
Tatibandh Zone,21.2751,81.5904,2024-01-01 06:40:00,91.26,37.39,54754.54,48790.73,5963.81,0,1
Telibandha Zone,21.2418,81.6695,2024-01-01 06:50:00,107.84,44.95,64701.67,63728.51,973.16,0,0
Telibandha Zone,21.2418,81.6695,2024-01-01 07:00:00,79.75,43.04,47847.65,46719.37,1128.28,0,0
Pandri Zone,21.2514,81.6296,2024-01-01 07:10:00,181.38,41.38,108826.93,101176.11,7650.81,0,0
Shankar Nagar Zone,21.2411,81.6612,2024-01-01 07:20:00,188.16,42.85,112894.28,101112.9,11781.38,0,0
Gudhiyari Zone,21.2473,81.6102,2024-01-01 07:30:00,176.46,25.96,105875.3,96411.34,9463.96,0,0
Amanaka Zone,21.2575,81.6139,2024-01-01 07:40:00,114.32,45.7,68589.29,67208.89,1380.4,0,1
Mahadev Ghat Zone,21.2627,81.6891,2024-01-01 07:50:00,162.89,39.11,97736.42,85500.25,12236.17,1,1
Shankar Nagar Zone,21.2411,81.6612,2024-01-01 08:00:00,53.42,38.05,32051.26,30484.4,1566.86,0,0
Mowa Zone,21.2542,81.6209,2024-01-01 08:10:00,95.58,38.03,57350.22,50347.46,7002.76,1,1
Shankar Nagar Zone,21.2411,81.6612,2024-01-01 08:20:00,249.07,52.0,149443.27,128035.46,21407.8,0,0
Mowa Zone,21.2542,81.6209,2024-01-01 08:30:00,147.14,26.92,88285.84,79350.21,8935.63,0,0
Amanaka Zone,21.2575,81.6139,2024-01-01 08:40:00,141.57,31.41,84942.89,73104.27,11838.62,0,0
Shankar Nagar Zone,21.2411,81.6612,2024-01-01 08:50:00,63.13,51.82,37880.5,35874.8,2005.71,0,0
Mahadev Ghat Zone,21.2627,81.6891,2024-01-01 09:00:00,67.29,53.88,40376.35,37479.2,2897.14,0,0
Devendra Nagar Zone,21.2519,81.6468,2024-01-01 09:10:00,218.42,56.34,131053.15,129685.07,1368.07,0,0
Pandri Zone,21.2514,81.6296,2024-01-01 09:20:00,234.39,27.05,140632.23,129175.27,11456.96,0,0
Devendra Nagar Zone,21.2519,81.6468,2024-01-01 09:30:00,97.27,47.03,58359.95,56690.82,1669.13,0,0
Pandri Zone,21.2514,81.6296,2024-01-01 09:40:00,218.26,37.45,130955.49,124033.64,6921.85,0,0
Mowa Zone,21.2542,81.6209,2024-01-01 09:50:00,65.73,48.06,39436.01,38777.29,658.73,0,0
Gudhiyari Zone,21.2473,81.6102,2024-01-01 10:00:00,179.79,41.8,107875.19,96029.83,11845.36,0,0
Shankar Nagar Zone,21.2411,81.6612,2024-01-01 10:10:00,70.14,56.76,42083.79,37329.49,4754.3,0,0
Devendra Nagar Zone,21.2519,81.6468,2024-01-01 10:20:00,112.89,32.98,67731.61,61827.33,5904.27,1,1
Gudhiyari Zone,21.2473,81.6102,2024-01-01 10:30:00,176.64,44.54,105986.17,102222.69,3763.48,0,0
Mowa Zone,21.2542,81.6209,2024-01-01 10:40:00,156.45,34.5,93871.76,84563.2,9308.56,0,0
Telibandha Zone,21.2418,81.6695,2024-01-01 10:50:00,76.51,33.32,45906.42,39918.41,5988.01,0,1
Mowa Zone,21.2542,81.6209,2024-01-01 11:00:00,223.36,41.02,134015.96,128306.03,5709.93,0,0
Mahadev Ghat Zone,21.2627,81.6891,2024-01-01 11:10:00,110.45,38.49,66271.83,57788.23,8483.6,1,1
Devendra Nagar Zone,21.2519,81.6468,2024-01-01 11:20:00,210.35,35.24,126208.34,117686.44,8521.9,0,0
Shankar Nagar Zone,21.2411,81.6612,2024-01-01 11:30:00,207.8,31.48,124682.53,112888.24,11794.29,0,0
Shankar Nagar Zone,21.2411,81.6612,2024-01-01 11:40:00,179.21,55.04,107526.24,94776.92,12749.32,0,0
Shankar Nagar Zone,21.2411,81.6612,2024-01-01 11:50:00,73.49,59.29,44094.83,40213.09,3881.74,0,0
Gudhiyari Zone,21.2473,81.6102,2024-01-01 12:00:00,169.74,43.22,101844.45,87584.82,14259.63,0,1
Telibandha Zone,21.2418,81.6695,2024-01-01 12:10:00,210.86,25.75,126513.23,111913.21,14600.02,0,0
Telibandha Zone,21.2418,81.6695,2024-01-01 12:20:00,138.53,39.58,83120.78,74034.78,9086.0,0,1
Telibandha Zone,21.2418,81.6695,2024-01-01 12:30:00,91.35,59.44,54812.18,48783.68,6028.5,0,0
Mowa Zone,21.2542,81.6209,2024-01-01 12:40:00,161.75,30.97,97049.97,85110.96,11939.01,0,0
Amanaka Zone,21.2575,81.6139,2024-01-01 12:50:00,232.65,31.01,139589.97,137390.25,2199.72,0,1
Tatibandh Zone,21.2751,81.5904,2024-01-01 13:00:00,192.66,32.9,115595.21,103231.57,12363.64,0,0
Devendra Nagar Zone,21.2519,81.6468,2024-01-01 13:10:00,163.38,56.25,98026.94,89427.62,8599.32,0,0
Devendra Nagar Zone,21.2519,81.6468,2024-01-01 13:20:00,141.66,41.89,84995.64,77673.59,7322.05,0,0
Telibandha Zone,21.2418,81.6695,2024-01-01 13:30:00,182.37,39.98,109420.3,108266.79,1153.51,0,0
Gudhiyari Zone,21.2473,81.6102,2024-01-01 13:40:00,76.82,53.92,46094.19,42197.6,3896.59,0,0
Mahadev Ghat Zone,21.2627,81.6891,2024-01-01 13:50:00,102.12,55.5,61270.95,60082.52,1188.43,0,0
Gudhiyari Zone,21.2473,81.6102,2024-01-01 14:00:00,145.61,59.41,87367.3,76708.78,10658.51,0,0
Amanaka Zone,21.2575,81.6139,2024-01-01 14:10:00,192.66,58.4,115596.73,102984.79,12611.94,0,0
Pandri Zone,21.2514,81.6296,2024-01-01 14:20:00,187.19,37.69,112311.64,104581.09,7730.55,1,1
Shankar Nagar Zone,21.2411,81.6612,2024-01-01 14:30:00,119.43,51.52,71660.96,69704.06,1956.9,0,0
Tatibandh Zone,21.2751,81.5904,2024-01-01 14:40:00,145.4,43.75,87239.49,75057.97,12181.52,0,0
Tatibandh Zone,21.2751,81.5904,2024-01-01 14:50:00,130.03,32.15,78020.97,72737.44,5283.53,0,0
Telibandha Zone,21.2418,81.6695,2024-01-01 15:00:00,242.28,31.42,145366.58,124366.38,21000.2,0,0
Mowa Zone,21.2542,81.6209,2024-01-01 15:10:00,243.85,47.74,146310.33,143039.72,3270.6,0,1
Pandri Zone,21.2514,81.6296,2024-01-01 15:20:00,240.83,30.43,144497.52,135692.04,8805.48,0,0
Shankar Nagar Zone,21.2411,81.6612,2024-01-01 15:30:00,124.14,39.17,74482.46,66623.12,7859.35,0,1
Tatibandh Zone,21.2751,81.5904,2024-01-01 15:40:00,50.14,58.0,30081.52,27166.75,2914.78,0,1
Mahadev Ghat Zone,21.2627,81.6891,2024-01-01 15:50:00,191.86,44.57,115115.52,112607.21,2508.32,0,0
Pandri Zone,21.2514,81.6296,2024-01-01 16:00:00,88.56,53.6,53133.49,49123.17,4010.32,0,0
Mowa Zone,21.2542,81.6209,2024-01-01 16:10:00,111.23,33.08,66737.09,63841.58,2895.52,0,0
Telibandha Zone,21.2418,81.6695,2024-01-01 16:20:00,84.17,35.83,50504.09,45285.88,5218.22,1,1
Telibandha Zone,21.2418,81.6695,2024-01-01 16:30:00,163.74,39.43,98242.25,92863.98,5378.27,0,0
Mowa Zone,21.2542,81.6209,2024-01-01 16:40:00,162.77,52.62,97660.09,89842.56,7817.53,0,0
Gudhiyari Zone,21.2473,81.6102,2024-01-01 16:50:00,93.41,40.27,56045.86,48263.79,7782.07,0,1
Gudhiyari Zone,21.2473,81.6102,2024-01-01 17:00:00,129.57,52.25,77744.01,68847.84,8896.17,0,0
Telibandha Zone,21.2418,81.6695,2024-01-01 17:10:00,207.07,25.89,124243.86,114711.73,9532.13,0,0
Mowa Zone,21.2542,81.6209,2024-01-01 17:20:00,168.66,46.32,101193.04,94504.94,6688.1,0,0
Shankar Nagar Zone,21.2411,81.6612,2024-01-01 17:30:00,118.65,35.34,71188.72,67030.45,4158.27,0,0
Mowa Zone,21.2542,81.6209,2024-01-01 17:40:00,242.98,50.91,145785.62,128445.91,17339.71,0,1
Mowa Zone,21.2542,81.6209,2024-01-01 17:50:00,154.63,39.42,92779.88,82884.52,9895.35,0,0
Shankar Nagar Zone,21.2411,81.6612,2024-01-01 18:00:00,51.27,50.95,30760.13,27810.68,2949.44,0,0
Devendra Nagar Zone,21.2519,81.6468,2024-01-01 18:10:00,115.2,41.24,69120.86,59957.01,9163.85,0,0
Devendra Nagar Zone,21.2519,81.6468,2024-01-01 18:20:00,108.25,36.48,64952.78,55981.46,8971.32,0,0
Devendra Nagar Zone,21.2519,81.6468,2024-01-01 18:30:00,224.11,59.03,134463.72,127045.5,7418.23,1,1
Pandri Zone,21.2514,81.6296,2024-01-01 18:40:00,206.46,26.36,123876.29,116780.53,7095.76,0,0
Mowa Zone,21.2542,81.6209,2024-01-01 18:50:00,155.49,30.22,93296.22,80147.05,13149.17,0,0
Tatibandh Zone,21.2751,81.5904,2024-01-01 19:00:00,136.23,40.06,81738.69,74997.9,6740.8,0,0
Mowa Zone,21.2542,81.6209,2024-01-01 19:10:00,166.88,49.71,100125.0,98283.71,1841.29,0,1
Amanaka Zone,21.2575,81.6139,2024-01-01 19:20:00,167.36,38.36,100414.45,86816.08,13598.37,0,1
Tatibandh Zone,21.2751,81.5904,2024-01-01 19:30:00,230.4,49.02,138241.07,124466.04,13775.04,0,0
Pandri Zone,21.2514,81.6296,2024-01-01 19:40:00,157.33,41.06,94396.28,88520.87,5875.41,1,1
Amanaka Zone,21.2575,81.6139,2024-01-01 19:50:00,179.61,38.04,107764.08,97810.37,9953.71,0,0
Telibandha Zone,21.2418,81.6695,2024-01-01 20:00:00,62.53,39.59,37520.01,36936.69,583.32,0,0
Devendra Nagar Zone,21.2519,81.6468,2024-01-01 20:10:00,82.34,35.31,49404.07,43136.04,6268.03,0,0
Shankar Nagar Zone,21.2411,81.6612,2024-01-01 20:20:00,152.38,49.79,91427.61,81937.23,9490.37,0,0
Mowa Zone,21.2542,81.6209,2024-01-01 20:30:00,213.9,49.19,128339.83,113119.1,15220.73,0,1
Tatibandh Zone,21.2751,81.5904,2024-01-01 20:40:00,60.6,39.44,36357.35,31018.64,5338.71,0,0
Amanaka Zone,21.2575,81.6139,2024-01-01 20:50:00,147.93,42.88,88756.72,84936.07,3820.65,0,1
Shankar Nagar Zone,21.2411,81.6612,2024-01-01 21:00:00,67.5,26.44,40500.84,36627.56,3873.27,1,1
Gudhiyari Zone,21.2473,81.6102,2024-01-01 21:10:00,124.88,34.88,74927.45,64267.23,10660.22,0,1
Tatibandh Zone,21.2751,81.5904,2024-01-01 21:20:00,114.01,37.86,68404.33,65767.42,2636.91,0,0
Gudhiyari Zone,21.2473,81.6102,2024-01-01 21:30:00,145.2,37.97,87118.36,85081.82,2036.54,0,1
Shankar Nagar Zone,21.2411,81.6612,2024-01-01 21:40:00,105.92,59.64,63553.01,62389.78,1163.23,0,0
Amanaka Zone,21.2575,81.6139,2024-01-01 21:50:00,76.56,25.41,45937.39,42291.83,3645.56,0,0
Devendra Nagar Zone,21.2519,81.6468,2024-01-01 22:00:00,60.82,25.36,36491.39,34442.14,2049.25,0,0
Mahadev Ghat Zone,21.2627,81.6891,2024-01-01 22:10:00,243.64,32.21,146184.33,127798.17,18386.16,0,0
Pandri Zone,21.2514,81.6296,2024-01-01 22:20:00,50.76,39.11,30453.65,29531.12,922.54,0,0
Devendra Nagar Zone,21.2519,81.6468,2024-01-01 22:30:00,172.32,36.58,103391.35,98327.33,5064.02,1,0
Mahadev Ghat Zone,21.2627,81.6891,2024-01-01 22:40:00,205.57,25.92,123339.21,106116.34,17222.87,0,0
Mahadev Ghat Zone,21.2627,81.6891,2024-01-01 22:50:00,219.4,45.4,131638.18,118248.3,13389.88,0,0
Shankar Nagar Zone,21.2411,81.6612,2024-01-01 23:00:00,191.14,32.74,114682.29,106915.72,7766.57,0,0
Mowa Zone,21.2542,81.6209,2024-01-01 23:10:00,222.63,27.49,133578.43,118188.93,15389.5,0,0
Devendra Nagar Zone,21.2519,81.6468,2024-01-01 23:20:00,108.22,45.0,64933.91,60293.68,4640.23,0,0
Mowa Zone,21.2542,81.6209,2024-01-01 23:30:00,133.37,31.57,80022.35,70563.85,9458.5,0,0
Gudhiyari Zone,21.2473,81.6102,2024-01-01 23:40:00,190.95,53.83,114570.44,100508.7,14061.74,0,0
Mahadev Ghat Zone,21.2627,81.6891,2024-01-01 23:50:00,194.76,47.47,116856.65,101364.56,15492.09,0,0
Gudhiyari Zone,21.2473,81.6102,2024-01-02 00:00:00,144.33,40.02,86599.35,74353.34,12246.01,1,1
Shankar Nagar Zone,21.2411,81.6612,2024-01-02 00:10:00,50.92,36.94,30551.6,28376.48,2175.11,0,0
Mahadev Ghat Zone,21.2627,81.6891,2024-01-02 00:20:00,162.13,57.75,97278.06,84758.76,12519.3,0,0
Mahadev Ghat Zone,21.2627,81.6891,2024-01-02 00:30:00,242.34,52.41,145402.16,137354.25,8047.91,1,1
Telibandha Zone,21.2418,81.6695,2024-01-02 00:40:00,182.83,41.13,109699.17,107485.59,2213.58,0,1
Shankar Nagar Zone,21.2411,81.6612,2024-01-02 00:50:00,169.7,30.16,101817.53,93582.98,8234.55,0,0
Tatibandh Zone,21.2751,81.5904,2024-01-02 01:00:00,152.4,32.67,91439.4,82055.57,9383.83,0,0
Tatibandh Zone,21.2751,81.5904,2024-01-02 01:10:00,241.72,42.12,145031.49,138820.56,6210.93,0,0
Gudhiyari Zone,21.2473,81.6102,2024-01-02 01:20:00,129.25,29.1,77552.81,66017.53,11535.28,0,0
Gudhiyari Zone,21.2473,81.6102,2024-01-02 01:30:00,143.3,38.25,85978.13,73216.02,12762.11,0,0
Pandri Zone,21.2514,81.6296,2024-01-02 01:40:00,226.53,37.95,135916.4,116999.4,18917.01,0,0
Mowa Zone,21.2542,81.6209,2024-01-02 01:50:00,158.79,28.45,95272.36,90447.7,4824.66,0,0
Telibandha Zone,21.2418,81.6695,2024-01-02 02:00:00,129.48,52.23,77686.02,75758.64,1927.37,1,1
Mowa Zone,21.2542,81.6209,2024-01-02 02:10:00,106.99,55.93,64193.8,62246.12,1947.68,1,0
Mahadev Ghat Zone,21.2627,81.6891,2024-01-02 02:20:00,128.77,52.6,77263.33,71228.51,6034.82,0,0
Tatibandh Zone,21.2751,81.5904,2024-01-02 02:30:00,82.27,51.32,49364.01,45605.38,3758.63,0,0
Mahadev Ghat Zone,21.2627,81.6891,2024-01-02 02:40:00,149.72,46.28,89831.16,77110.63,12720.54,0,0
Devendra Nagar Zone,21.2519,81.6468,2024-01-02 02:50:00,215.33,45.26,129198.69,126113.26,3085.43,0,0
Mowa Zone,21.2542,81.6209,2024-01-02 03:00:00,245.62,40.69,147371.38,127523.92,19847.46,0,0
Mowa Zone,21.2542,81.6209,2024-01-02 03:10:00,58.68,53.96,35205.05,30317.24,4887.82,0,0
Mahadev Ghat Zone,21.2627,81.6891,2024-01-02 03:20:00,163.38,46.41,98027.03,87544.41,10482.62,0,0
Mahadev Ghat Zone,21.2627,81.6891,2024-01-02 03:30:00,196.0,41.84,117597.68,101445.3,16152.39,0,0
Mahadev Ghat Zone,21.2627,81.6891,2024-01-02 03:40:00,102.31,45.93,61385.39,57923.14,3462.25,0,0
Gudhiyari Zone,21.2473,81.6102,2024-01-02 03:50:00,115.05,38.91,69031.9,67572.15,1459.75,0,0
Mowa Zone,21.2542,81.6209,2024-01-02 04:00:00,147.62,49.19,88572.93,87489.64,1083.29,0,0
Shankar Nagar Zone,21.2411,81.6612,2024-01-02 04:10:00,62.86,27.85,37715.85,35337.74,2378.11,0,0
Tatibandh Zone,21.2751,81.5904,2024-01-02 04:20:00,165.86,54.97,99518.09,89171.11,10346.98,0,0
Pandri Zone,21.2514,81.6296,2024-01-02 04:30:00,204.23,42.78,122540.01,114700.78,7839.24,0,0
Shankar Nagar Zone,21.2411,81.6612,2024-01-02 04:40:00,86.92,55.53,52153.33,45867.55,6285.78,0,0
Pandri Zone,21.2514,81.6296,2024-01-02 04:50:00,161.64,53.81,96983.93,88299.35,8684.58,0,0
Telibandha Zone,21.2418,81.6695,2024-01-02 05:00:00,56.83,26.64,34095.08,33587.21,507.87,0,0
Mowa Zone,21.2542,81.6209,2024-01-02 05:10:00,92.16,39.69,55295.81,49807.14,5488.66,1,1
Tatibandh Zone,21.2751,81.5904,2024-01-02 05:20:00,200.98,45.69,120590.81,118599.6,1991.21,0,0
Mahadev Ghat Zone,21.2627,81.6891,2024-01-02 05:30:00,127.91,33.02,76744.38,69059.77,7684.62,0,0
Devendra Nagar Zone,21.2519,81.6468,2024-01-02 05:40:00,212.47,48.66,127484.56,116322.93,11161.64,0,0
Mahadev Ghat Zone,21.2627,81.6891,2024-01-02 05:50:00,179.88,41.25,107926.63,106811.55,1115.08,0,0
Shankar Nagar Zone,21.2411,81.6612,2024-01-02 06:00:00,124.63,58.47,74779.87,72572.03,2207.85,0,0
Mahadev Ghat Zone,21.2627,81.6891,2024-01-02 06:10:00,134.14,38.79,80482.19,75523.34,4958.85,1,1
Gudhiyari Zone,21.2473,81.6102,2024-01-02 06:20:00,211.48,49.57,126888.97,115038.32,11850.65,0,0
Gudhiyari Zone,21.2473,81.6102,2024-01-02 06:30:00,167.47,34.23,100484.66,89771.61,10713.05,0,0
Mowa Zone,21.2542,81.6209,2024-01-02 06:40:00,176.8,42.1,106079.66,97445.08,8634.57,0,0
Devendra Nagar Zone,21.2519,81.6468,2024-01-02 06:50:00,156.51,32.79,93904.34,92060.36,1843.98,0,0
Mahadev Ghat Zone,21.2627,81.6891,2024-01-02 07:00:00,78.12,37.58,46873.1,43013.76,3859.34,0,0
Gudhiyari Zone,21.2473,81.6102,2024-01-02 07:10:00,121.98,54.09,73189.53,68888.87,4300.66,0,0
Tatibandh Zone,21.2751,81.5904,2024-01-02 07:20:00,194.87,44.34,116920.76,105612.25,11308.51,0,0
Devendra Nagar Zone,21.2519,81.6468,2024-01-02 07:30:00,239.99,56.95,143993.53,124071.28,19922.26,0,0
Telibandha Zone,21.2418,81.6695,2024-01-02 07:40:00,59.89,30.07,35935.09,35164.63,770.46,0,0
Gudhiyari Zone,21.2473,81.6102,2024-01-02 07:50:00,186.16,27.12,111694.11,97060.8,14633.31,0,0
Devendra Nagar Zone,21.2519,81.6468,2024-01-02 08:00:00,75.62,49.64,45369.91,41708.74,3661.18,0,0
Pandri Zone,21.2514,81.6296,2024-01-02 08:10:00,50.81,48.45,30488.48,27899.31,2589.18,0,0
Mahadev Ghat Zone,21.2627,81.6891,2024-01-02 08:20:00,219.62,46.66,131773.64,116851.32,14922.32,0,0
Gudhiyari Zone,21.2473,81.6102,2024-01-02 08:30:00,106.4,59.07,63841.05,62441.85,1399.2,0,1
Telibandha Zone,21.2418,81.6695,2024-01-02 08:40:00,183.42,33.2,110049.76,97873.32,12176.44,0,0
Shankar Nagar Zone,21.2411,81.6612,2024-01-02 08:50:00,65.34,44.97,39201.67,33899.27,5302.4,0,0
Mowa Zone,21.2542,81.6209,2024-01-02 09:00:00,73.58,46.9,44148.74,38450.94,5697.8,0,0
Mowa Zone,21.2542,81.6209,2024-01-02 09:10:00,95.13,34.42,57075.9,52984.06,4091.84,0,0
Telibandha Zone,21.2418,81.6695,2024-01-02 09:20:00,72.04,37.52,43223.21,38051.32,5171.88,0,0
Pandri Zone,21.2514,81.6296,2024-01-02 09:30:00,236.1,35.61,141659.78,121161.39,20498.39,0,0
Telibandha Zone,21.2418,81.6695,2024-01-02 09:40:00,156.07,55.28,93644.31,88800.47,4843.84,0,0
Amanaka Zone,21.2575,81.6139,2024-01-02 09:50:00,176.94,25.4,106163.52,100171.27,5992.25,0,0
Devendra Nagar Zone,21.2519,81.6468,2024-01-02 10:00:00,223.26,58.16,133955.6,114848.53,19107.07,0,1
Mahadev Ghat Zone,21.2627,81.6891,2024-01-02 10:10:00,162.85,37.09,97710.0,93950.2,3759.79,0,0
Shankar Nagar Zone,21.2411,81.6612,2024-01-02 10:20:00,180.01,51.71,108007.73,98734.92,9272.81,1,1
Mahadev Ghat Zone,21.2627,81.6891,2024-01-02 10:30:00,190.44,57.11,114262.98,106844.37,7418.61,0,0
Gudhiyari Zone,21.2473,81.6102,2024-01-02 10:40:00,89.31,36.93,53586.81,51543.51,2043.3,0,0
Shankar Nagar Zone,21.2411,81.6612,2024-01-02 10:50:00,61.22,58.78,36731.87,31805.27,4926.6,0,0
Mahadev Ghat Zone,21.2627,81.6891,2024-01-02 11:00:00,193.86,36.46,116313.9,111358.15,4955.74,0,0
Devendra Nagar Zone,21.2519,81.6468,2024-01-02 11:10:00,87.97,26.68,52782.79,45063.44,7719.35,0,1
Gudhiyari Zone,21.2473,81.6102,2024-01-02 11:20:00,141.39,43.45,84831.85,81225.86,3605.99,0,0
Amanaka Zone,21.2575,81.6139,2024-01-02 11:30:00,226.66,45.98,135997.19,123311.42,12685.77,0,0
Telibandha Zone,21.2418,81.6695,2024-01-02 11:40:00,64.42,33.53,38652.49,34976.06,3676.44,0,0
Telibandha Zone,21.2418,81.6695,2024-01-02 11:50:00,190.93,59.21,114558.14,102199.48,12358.67,0,0
Tatibandh Zone,21.2751,81.5904,2024-01-02 12:00:00,68.19,33.16,40916.95,38258.95,2658.0,1,1
Pandri Zone,21.2514,81.6296,2024-01-02 12:10:00,221.23,53.3,132738.0,119068.78,13669.22,0,0
Mahadev Ghat Zone,21.2627,81.6891,2024-01-02 12:20:00,75.76,51.21,45453.07,43677.64,1775.43,0,0
Tatibandh Zone,21.2751,81.5904,2024-01-02 12:30:00,217.4,49.82,130441.21,113836.88,16604.33,0,0
Tatibandh Zone,21.2751,81.5904,2024-01-02 12:40:00,188.69,28.95,113216.73,98764.69,14452.04,0,0
Pandri Zone,21.2514,81.6296,2024-01-02 12:50:00,148.68,32.3,89206.1,76457.55,12748.55,1,1
Pandri Zone,21.2514,81.6296,2024-01-02 13:00:00,91.76,48.92,55053.43,53114.71,1938.72,0,1
Amanaka Zone,21.2575,81.6139,2024-01-02 13:10:00,167.16,58.87,100295.42,85533.31,14762.11,0,0
Telibandha Zone,21.2418,81.6695,2024-01-02 13:20:00,179.97,51.67,107979.27,93210.7,14768.57,0,0
Telibandha Zone,21.2418,81.6695,2024-01-02 13:30:00,72.95,34.99,43770.41,41599.53,2170.88,0,0
Mowa Zone,21.2542,81.6209,2024-01-02 13:40:00,160.62,56.38,96370.57,91255.44,5115.13,0,0
Telibandha Zone,21.2418,81.6695,2024-01-02 13:50:00,238.3,37.22,142977.23,125605.87,17371.35,0,0
Devendra Nagar Zone,21.2519,81.6468,2024-01-02 14:00:00,90.36,29.72,54214.7,46815.98,7398.72,0,0
